,Mumbai.total.confirmed,Mumbai.total.deceased,Mumbai.total.recovered,Mumbai.delta.confirmed,Mumbai.delta.deceased,Mumbai.delta.recovered,Mumbai.delta.tested,Mumbai.total.tested,Mumbai.delta.other,Mumbai.total.other
2020-01-30,,,,,,,,,,
2020-02-02,,,,,,,,,,
2020-02-03,,,,,,,,,,
2020-02-14,,,,,,,,,,
2020-03-02,,,,,,,,,,
2020-03-03,,,,,,,,,,
2020-03-04,,,,,,,,,,
2020-03-05,,,,,,,,,,
2020-03-06,,,,,,,,,,
2020-03-07,,,,,,,,,,
2020-03-08,,,,,,,,,,
2020-03-09,,,,,,,,,,
2020-03-10,,,,,,,,,,
2020-03-11,,,,,,,,,,
2020-03-12,,,,,,,,,,
2020-03-13,,,,,,,,,,
2020-03-14,,,,,,,,,,
2020-03-15,,,,,,,,,,
2020-03-16,,,,,,,,,,
2020-03-17,,,,,,,,,,
2020-03-18,,,,,,,,,,
2020-03-19,,,,,,,,,,
2020-03-20,,,,,,,,,,
2020-03-21,,,,,,,,,,
2020-03-22,,,,,,,,,,
2020-03-23,,,,,,,,,,
2020-03-24,,,,,,,,,,
2020-03-25,,,,,,,,,,
2020-03-26,,,,,,,,,,
2020-03-27,,,,,,,,,,
2020-03-28,,,,,,,,,,
2020-03-29,,,,,,,,,,
2020-03-30,,,,,,,,,,
2020-03-31,,,,,,,,,,
2020-04-01,,,,,,,,,,
2020-04-02,,,,,,,,,,
2020-04-03,,,,,,,,,,
2020-04-04,,,,,,,,,,
2020-04-05,,,,,,,,,,
2020-04-06,,,,,,,,,,
2020-04-07,,,,,,,,,,
2020-04-08,,,,,,,,,,
2020-04-09,,,,,,,,,,
2020-04-10,,,,,,,,,,
2020-04-11,,,,,,,,,,
2020-04-12,,,,,,,,,,
2020-04-13,,,,,,,,,,
2020-04-14,,,,,,,,,,
2020-04-15,,,,,,,,,,
2020-04-16,,,,,,,,,,
2020-04-17,,,,,,,,,,
2020-04-18,,,,,,,,,,
2020-04-19,,,,,,,,,,
2020-04-20,,,,,,,,,,
2020-04-21,,,,,,,,,,
2020-04-22,,,,,,,,,,
2020-04-23,,,,,,,,,,
2020-04-24,,,,,,,,,,
2020-04-25,,,,,,,,,,
2020-04-26,5407.0,204.0,641.0,,,,,,,
2020-04-27,5776.0,219.0,711.0,369.0,15.0,70.0,,,,
